行号,笔记标题,主页链接,原笔记地址,失败原因
20,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/597de0aa50c4b4204c089626,https://www.xiaohongshu.com/explore/69ffe92e0000000007028fea?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
27,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/656c54580000000020036d39,https://www.xiaohongshu.com/explore/69ffee9f0000000007013cd6?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
30,杭州余杭创景路小单间1200！,https://www.xiaohongshu.com/user/profile/68cba4b50000000020001663,https://www.xiaohongshu.com/explore/69ffb68800000000360195c6?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ffb68800000000360195c6?xhsshare=CopyLink&t)"
55,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/60df9760000000000100b03b,https://www.xiaohongshu.com/explore/69ffe215000000000803de9b?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
60,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/688b0c18000000002801c63f,https://www.xiaohongshu.com/explore/6a0009180000000038022676?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
68,广州南沙转租4号线黄阁站 时代天逸 无中介,https://www.xiaohongshu.com/user/profile/5f9d06ee000000000100abfa,https://www.xiaohongshu.com/explore/69ff606a0000000006030195?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ff606a0000000006030195?xhsshare=CopyLink&t)"
80,搬家出闲置二手家具,https://www.xiaohongshu.com/user/profile/5756c936a9b2ed3986a301a9,https://www.xiaohongshu.com/explore/69ff5e2f0000000036033c03?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ff5e2f0000000036033c03?xhsshare=CopyLink&t)"
103,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/688b1e27000000002800e098,https://www.xiaohongshu.com/explore/6a000b3d000000003701f322?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
106,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/657115ce000000003d036ed8,https://www.xiaohongshu.com/explore/69ff645f0000000035032cd1?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
138,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5ef0040f0000000001001198,https://www.xiaohongshu.com/explore/6a0027b40000000007021811?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
