行号,笔记标题,主页链接,原笔记地址,失败原因
2,避雷啊第一次用洗碗机给自己找罪受,https://www.xiaohongshu.com/user/profile/5cad6230000000001103e41f,https://www.xiaohongshu.com/explore/69ffc1d10000000035023538?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ffc1d10000000035023538?xhsshare=CopyLink&t)"
4,用了一回，再也回不去了……,https://www.xiaohongshu.com/user/profile/5abf8812e8ac2b233b9b5f34,https://www.xiaohongshu.com/explore/69fed3830000000038021a85?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fed3830000000038021a85?xhsshare=CopyLink&t)"
31,北京五月中旬找住家带睡育儿嫂,https://www.xiaohongshu.com/user/profile/5781153850c4b40fe77f0f47,https://www.xiaohongshu.com/explore/69ffe602000000003701ec35?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ffe602000000003701ec35?xhsshare=CopyLink&t)"
33,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5f267282000000000101dc99,https://www.xiaohongshu.com/explore/69fff905000000003701cf88?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
59,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5cd83c400000000012008f11,https://www.xiaohongshu.com/explore/69ffe0f10000000036003c50?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
61,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5db67ef60000000001005541,https://www.xiaohongshu.com/explore/69ff60f40000000036000ba5?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
65,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/65afbd67000000000e0250f6,https://www.xiaohongshu.com/explore/69ffc26600000000350308b0?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
66,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/68d5e7d3000000002202c4fb,https://www.xiaohongshu.com/explore/6a00472a0000000007025322?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
67,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5d1bee6d0000000012036a49,https://www.xiaohongshu.com/explore/6a003bb600000000070255b7?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
77,🛠️套内89m²硬装全流程｜小白闭眼抄作业,https://www.xiaohongshu.com/user/profile/68773470000000001e00b04a,https://www.xiaohongshu.com/explore/6a004c98000000003601803f?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a004c98000000003601803f?xhsshare=CopyLink&t)"
