行号,笔记标题,主页链接,原笔记地址,失败原因
39,小白抄作业|装修2套房才敢说的26条装修真话,https://www.xiaohongshu.com/user/profile/566a798303eb8449e166ca8a,https://www.xiaohongshu.com/explore/69fd706a000000003700ec08?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd706a000000003700ec08?xhsshare=CopyLink&t)"
41,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/625068f0000000001000ebb1,https://www.xiaohongshu.com/explore/69fd7f480000000038037071?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
62,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6025227c000000000101e7b3,https://www.xiaohongshu.com/explore/69fcd47d000000001e00e31e?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
71,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/68b464140000000019017dcf,https://www.xiaohongshu.com/explore/69fdba5d00000000350294ad?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
72,谁说开放式厨房不能爆炒？我偏可以,https://www.xiaohongshu.com/user/profile/659d7b0c0000000022008496,https://www.xiaohongshu.com/explore/69fdb2c800000000350262a2?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fdb2c800000000350262a2?xhsshare=CopyLink&t)"
76,带娃家庭厨房刚需！做饭终于不吵娃了,https://www.xiaohongshu.com/user/profile/63cb53400000000026010b0f,https://www.xiaohongshu.com/explore/69fd7979000000003700d89d?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd7979000000003700d89d?xhsshare=CopyLink&t)"
82,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/65387d780000000006004579,https://www.xiaohongshu.com/explore/69fd7ff8000000003502b8f5?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
83,小户型救星！显大又高级全靠它,https://www.xiaohongshu.com/user/profile/660822f8000000000b00c2c8,https://www.xiaohongshu.com/explore/69fdc45100000000230062d2?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fdc45100000000230062d2?xhsshare=CopyLink&t)"
121,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5e6b9bbe0000000001000c65,https://www.xiaohongshu.com/explore/69fdd81f0000000036018b3c?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
132,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/680f61b9000000000e012038,https://www.xiaohongshu.com/explore/69fdc047000000001f001d88?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
