行号,笔记标题,主页链接,原笔记地址,失败原因
7,请大家帮我出出主意#,https://www.xiaohongshu.com/user/profile/5aa483a94eacab0d2c2b157b,https://www.xiaohongshu.com/explore/69fd4b100000000036033578?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd4b100000000036033578?xhsshare=CopyLink&t)"
28,北京沙河房东直租｜近地铁🚇可短租,https://www.xiaohongshu.com/user/profile/5a93e7fe11be106bbfa5ca42,https://www.xiaohongshu.com/explore/69fd9e3000000000350399d9?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd9e3000000000350399d9?xhsshare=CopyLink&t)"
32,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5fdd90e800000000010070c8,https://www.xiaohongshu.com/explore/69fd287400000000350303b4?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
38,上海杨浦房东直租大一室一厅56平,https://www.xiaohongshu.com/user/profile/5f2f53e00000000001008fbe,https://www.xiaohongshu.com/explore/69fdcb3f000000002301f16d?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fdcb3f000000002301f16d?xhsshare=CopyLink&t)"
39,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6688afba000000000f037a1f,https://www.xiaohongshu.com/explore/69fdefd8000000001f00198c?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
55,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5da833ff0000000001002e7e,https://www.xiaohongshu.com/explore/69fd369a000000001e00f836?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
64,招一个钟点工阿姨,https://www.xiaohongshu.com/user/profile/5a155b8f4eacab5892fd775e,https://www.xiaohongshu.com/explore/69fd4e87000000003700f91a?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd4e87000000003700f91a?xhsshare=CopyLink&t)"
69,17号线北神树附近找 做饭阿姨,https://www.xiaohongshu.com/user/profile/6666e7c70000000007005d70,https://www.xiaohongshu.com/explore/69fd74450000000022024d24?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd74450000000022024d24?xhsshare=CopyLink&t)"
76,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5f92b664000000000100a77e,https://www.xiaohongshu.com/explore/69fda969000000001a03622c?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
80,顺德北滘 找钟点工阿姨,https://www.xiaohongshu.com/user/profile/680b5f880000000010026159,https://www.xiaohongshu.com/explore/69fd8471000000003701f643?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd8471000000003701f643?xhsshare=CopyLink&t)"
84,心软让我定价9.9……想不到爆了1w➕！！！,https://www.xiaohongshu.com/user/profile/65f06ad100000000050090cc,https://www.xiaohongshu.com/explore/69fdb9b100000000380353fd?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fdb9b100000000380353fd?xhsshare=CopyLink&t)"
91,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5ccd53680000000017005098,https://www.xiaohongshu.com/explore/69fd40f5000000003502b910?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
