行号,笔记标题,主页链接,原笔记地址,失败原因
3,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5fe0e8470000000001005596,https://www.xiaohongshu.com/explore/69fc619a000000003601da7d?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
14,colmo微蒸烤一体5k拿下！！！,https://www.xiaohongshu.com/user/profile/63edfc59000000000f011c73,https://www.xiaohongshu.com/explore/69fd99b5000000001b022563?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd99b5000000001b022563?xhsshare=CopyLink&t)"
34,被这台灶台硬控了！,https://www.xiaohongshu.com/user/profile/5ee98b1a0000000001006e4b,https://www.xiaohongshu.com/explore/69fd7a300000000035021f27?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fd7a300000000035021f27?xhsshare=CopyLink&t)"
38,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5af7ac144eacab6c2cb7d7ea,https://www.xiaohongshu.com/explore/69fdc07b000000003700c427?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
46,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/661f672e0000000003031735,https://www.xiaohongshu.com/explore/69fd8239000000001a034f93?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
53,#家电 #微蒸烤一体机 #家电团购 #厨房电器 #电器 #厨房家电,https://www.xiaohongshu.com/user/profile/60ed8e020000000001001bbe,https://www.xiaohongshu.com/explore/69fdbc5d0000000035033922?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fdbc5d0000000035033922?xhsshare=CopyLink&t)"
55,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5e5f884b00000000010039e3,https://www.xiaohongshu.com/explore/69fdb99f000000003803539b?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
60,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6798a1e8000000000a03c350,https://www.xiaohongshu.com/explore/69fdea410000000038021e6f?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
63,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/64f9b1cd00000000050038f6,https://www.xiaohongshu.com/explore/69fd3ffb000000003501f354?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
65,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/652d42d1000000002a02aa2b,https://www.xiaohongshu.com/explore/69fd41e2000000001f0059ee?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
