行号,笔记标题,主页链接,原笔记地址,失败原因
44,爸妈非要我9.9r一箱挂xhs💰关键没人买啊,https://www.xiaohongshu.com/user/profile/68bd4452000000001a020177,https://www.xiaohongshu.com/explore/69fedf81000000002003a29b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fedf81000000002003a29b?xhsshare=CopyLink&t)"
59,求推荐～,https://www.xiaohongshu.com/user/profile/5d715ed900000000010190d8,https://www.xiaohongshu.com/explore/69fe8826000000001a02d731?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fe8826000000001a02d731?xhsshare=CopyLink&t)"
83,xhs 的年轻人对9r购买力毫无概念,https://www.xiaohongshu.com/user/profile/693112fd000000003702bdbb,https://www.xiaohongshu.com/explore/69ff1e7d0000000036001d5b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ff1e7d0000000036001d5b?xhsshare=CopyLink&t)"
94,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5b988fdef89a924e4412c21b,https://www.xiaohongshu.com/explore/69fed32e000000001b02105b?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
106,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6270eccc000000002102b387,https://www.xiaohongshu.com/explore/69fe6b3e00000000230053d1?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
154,曼哈顿Mirama招次卧室友 （男女不限）近哥大,https://www.xiaohongshu.com/user/profile/659cd6f100000000220021ae,https://www.xiaohongshu.com/explore/69feaef10000000013020401?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69feaef10000000013020401?xhsshare=CopyLink&t)"
164,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/56cbf9bdb8ce1a7bd35c0c2f,https://www.xiaohongshu.com/explore/69fea88d000000001b020b12?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
180,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6829e5d9000000001703f915,https://www.xiaohongshu.com/explore/69fc6411000000001a02d019?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
212,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5c2b22690000000006018176,https://www.xiaohongshu.com/explore/69fe9284000000002301d7b5?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
231,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5f1a1686000000000101fbdf,https://www.xiaohongshu.com/explore/69fe8a46000000001f0055a3?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
238,这个省钱爽点❗不愧是抠搜人民的智慧❗,https://www.xiaohongshu.com/user/profile/690b012e000000003702a0e5,https://www.xiaohongshu.com/explore/69fea58c000000003601e43c?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fea58c000000003601e43c?xhsshare=CopyLink&t)"
242,花木·世纪公园（联洋花园）大2室2厅 132㎡,https://www.xiaohongshu.com/user/profile/654b55b70000000004009bad,https://www.xiaohongshu.com/explore/69feabec000000002301d3f2?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69feabec000000002301d3f2?xhsshare=CopyLink&t)"
258,天热就满足自己一下吧~姆明碗真的好能装！！,https://www.xiaohongshu.com/user/profile/632815b800000000230261b4,https://www.xiaohongshu.com/explore/69fef3e5000000003701e03e?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fef3e5000000003701e03e?xhsshare=CopyLink&t)"
263,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5f07f8190000000001004b5a,https://www.xiaohongshu.com/explore/69febdcd000000002301e59d?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
271,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/699927450000000019030ed3,https://www.xiaohongshu.com/explore/69fe94460000000037037e72?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
278,东伦敦MLG公寓转租,https://www.xiaohongshu.com/user/profile/5b549399f7e8b965cdeb3f9d,https://www.xiaohongshu.com/explore/69fe223a000000001f00732e?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fe223a000000001f00732e?xhsshare=CopyLink&t)"
315,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6960e562000000003702bd51,https://www.xiaohongshu.com/explore/69fe9c29000000001e00ea7d?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
319,🏠 UIUC Here 4b4b 低价转租｜仅$700/月！,https://www.xiaohongshu.com/user/profile/5c5aee09000000001d00b8e1,https://www.xiaohongshu.com/explore/69fe94690000000035032c5f?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69fe94690000000035032c5f?xhsshare=CopyLink&t)"
