行号,笔记标题,主页链接,原笔记地址,失败原因
912,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/61c4517300000000100043fd,https://www.xiaohongshu.com/explore/6a0131740000000008031191?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
925,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6660f11a0000000003032000,https://www.xiaohongshu.com/explore/6a016e15000000003701ce9e?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
927,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/63fc1e790000000010027e01,https://www.xiaohongshu.com/explore/6a014d33000000003700ca9e?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
941,西安租房，开远门租房,https://www.xiaohongshu.com/user/profile/65d2ef760000000005032523,https://www.xiaohongshu.com/explore/6a019dd2000000000603751b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a019dd2000000000603751b?xhsshare=CopyLink&t)"
944,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/695e6fb70000000032017699,https://www.xiaohongshu.com/explore/6a01942f000000003502a35d?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
949,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5dc5727f000000000100abfa,https://www.xiaohongshu.com/explore/6a01ad4f000000003701ff90?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
952,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/650674a80000000016039146,https://www.xiaohongshu.com/explore/6a01fcbe0000000007012165?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
955,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/647584cb000000001f005d09,https://www.xiaohongshu.com/explore/6a01a724000000003701d947?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
963,装修日记｜泥瓦工结束后，油漆工进场,https://www.xiaohongshu.com/user/profile/58bee19e5e87e7431715eb36,https://www.xiaohongshu.com/explore/6a0184f7000000000702eb5b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a0184f7000000000702eb5b?xhsshare=CopyLink&t)"
966,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5f2eb7210000000001000f55,https://www.xiaohongshu.com/explore/6a0171610000000006033a44?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
969,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5c69ff0e000000001101ee27,https://www.xiaohongshu.com/explore/6a01b9f400000000350210dc?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
973,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/59accd9350c4b4236069af86,https://www.xiaohongshu.com/explore/6a0151af0000000036019c26?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
975,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/688b1e27000000002800e098,https://www.xiaohongshu.com/explore/6a015d9f000000003701fe14?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
980,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/677399d900000000190036fc,https://www.xiaohongshu.com/explore/6a01514b0000000036032722?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
983,近江苏大学 学林雅郡一室一厅一卫出租,https://www.xiaohongshu.com/user/profile/66d711f7000000001d023974,https://www.xiaohongshu.com/explore/6a00b4920000000006030521?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a00b4920000000006030521?xhsshare=CopyLink&t)"
