行号,笔记标题,主页链接,原笔记地址,失败原因
56,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/56762fb103eb847ce39c8cae,https://www.xiaohongshu.com/explore/6a011fec000000000702b0b0?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
58,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/66c40ea7000000000b033435,https://www.xiaohongshu.com/explore/6a014a640000000038036aa5?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
75,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5a61eb3411be1027f881a9c4,https://www.xiaohongshu.com/explore/6a01629700000000070117fb?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
98,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/60d88951000000000100405e,https://www.xiaohongshu.com/explore/6a01d5080000000007022672?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
104,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5a767e9511be107a5610ff35,https://www.xiaohongshu.com/explore/6a00b45f000000003802350e?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
106,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5baacfda1c5d630001cdb8ca,https://www.xiaohongshu.com/explore/6a01888400000000360027e9?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
117,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/60eb080c00000000010158f5,https://www.xiaohongshu.com/explore/6a01cfcf0000000008002fe0?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
121,慧曼洗碗机，本以为要翻车没想到是翻新,https://www.xiaohongshu.com/user/profile/66bb350b000000001d020956,https://www.xiaohongshu.com/explore/6a01896300000000080036f3?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01896300000000080036f3?xhsshare=CopyLink&t)"
126,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5e37816b000000000100bd90,https://www.xiaohongshu.com/explore/6a016eb70000000008026653?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
130,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6511419f0000000016039868,https://www.xiaohongshu.com/explore/6a012f090000000035025e83?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
132,釉下彩盲盒仅9r👆而且保证每单都给盘💥,https://www.xiaohongshu.com/user/profile/694cea82000000003201d082,https://www.xiaohongshu.com/explore/6a01776a000000000702392a?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01776a000000000702392a?xhsshare=CopyLink&t)"
133,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/55cdb1eaa75c95469b7bece1,https://www.xiaohongshu.com/explore/6a017e1b000000003501e527?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
141,西门子黑魔镜洗碗机有要的嘛！！,https://www.xiaohongshu.com/user/profile/69081c160000000032014684,https://www.xiaohongshu.com/explore/6a014e790000000007013d53?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a014e790000000007013d53?xhsshare=CopyLink&t)"
165,🔥惊喜618！美的X6S Max洗碗机有拼的吗？,https://www.xiaohongshu.com/user/profile/69a9145f0000000032037d16,https://www.xiaohongshu.com/explore/6a013b60000000003700e7a2?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a013b60000000003700e7a2?xhsshare=CopyLink&t)"
168,想买台洗碗机！！,https://www.xiaohongshu.com/user/profile/6189ca7d00000000210297c2,https://www.xiaohongshu.com/explore/6a01b0090000000038021245?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01b0090000000038021245?xhsshare=CopyLink&t)"
169,包河区|三室一厅|个人转租合肥包河区区,https://www.xiaohongshu.com/user/profile/5bd282208eabf200015483ae,https://www.xiaohongshu.com/explore/6a00b7a9000000000702e15c?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a00b7a9000000000702e15c?xhsshare=CopyLink&t)"
170,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/674fce26000000001d02c8f6,https://www.xiaohongshu.com/explore/6a014487000000003601922d?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
173,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/646c8cca000000001c02b5e3,https://www.xiaohongshu.com/explore/6a01f3750000000038020e73?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
175,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/648ff755000000002a03695f,https://www.xiaohongshu.com/explore/6a019297000000000702a86d?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
183,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5b18c8a511be107afa59e6c7,https://www.xiaohongshu.com/explore/6a01194b000000003601ad57?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
188,洗碗机的底下怎么可以这么脏,https://www.xiaohongshu.com/user/profile/5665592bb8ce1a7efda95b50,https://www.xiaohongshu.com/explore/6a014a4000000000080241f8?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a014a4000000000080241f8?xhsshare=CopyLink&t)"
