行号,笔记标题,主页链接,原笔记地址,失败原因
649,盲目装修一定会后悔！最省时省力装修无痛版,https://www.xiaohongshu.com/user/profile/684fde60000000001d01516f,https://www.xiaohongshu.com/explore/6a01895d000000003502f89a?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01895d000000003502f89a?xhsshare=CopyLink&t)"
666,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/65b0d740000000000d03d70d,https://www.xiaohongshu.com/explore/6a01c9db000000003600278a?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
669,洗碗机真是伟大的发明,https://www.xiaohongshu.com/user/profile/5b9b75850bcc560001640ab7,https://www.xiaohongshu.com/explore/6a01d8ee000000000702ecc0?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01d8ee000000000702ecc0?xhsshare=CopyLink&t)"
670,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5d2047260000000016015583,https://www.xiaohongshu.com/explore/6a01f85e00000000380378ba?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
672,厨房收纳必备！不锈钢盆筛套装,https://www.xiaohongshu.com/user/profile/69157aae000000003100c0c2,https://www.xiaohongshu.com/explore/6a01d6e80000000036018980?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01d6e80000000036018980?xhsshare=CopyLink&t)"
681,☁️儿童洗碗机玩具，厨房小能手养成记☁️,https://www.xiaohongshu.com/user/profile/6357def4000000001802eb73,https://www.xiaohongshu.com/explore/6a017658000000003502bcf3?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a017658000000003502bcf3?xhsshare=CopyLink&t)"
687,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/64433ca600000000290149fc,https://www.xiaohongshu.com/explore/6a0175d00000000006022b3c?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
689,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/660bee4c000000000b00f315,https://www.xiaohongshu.com/explore/6a0160c400000000060348f0?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
692,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5fd9c72500000000010035bf,https://www.xiaohongshu.com/explore/6a013958000000000702cbd7?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
694,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/687fa17e000000001e039d45,https://www.xiaohongshu.com/explore/6a01640e000000000803f577?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
698,🔥耐热直身杯，用着真安心,https://www.xiaohongshu.com/user/profile/68d74e170000000021026757,https://www.xiaohongshu.com/explore/6a01c7d00000000006033f0d?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01c7d00000000006033f0d?xhsshare=CopyLink&t)"
