行号,笔记标题,主页链接,原笔记地址,失败原因
48,高端油烟机实测对比，选对机型不花冤枉钱,https://www.xiaohongshu.com/user/profile/61c14fac0000000021029b5b,https://www.xiaohongshu.com/explore/69dcd54b00000000210056ca?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69dcd54b00000000210056ca?xhsshare=CopyLink&t)"
155,aceoffix C5折叠车避坑,https://www.xiaohongshu.com/user/profile/54658f2ad6e4a91ff1b765f1,https://www.xiaohongshu.com/explore/69eb09e7000000002003a141?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69eb09e7000000002003a141?xhsshare=CopyLink&t)"
168,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/60cf4c70000000000101f424,https://www.xiaohongshu.com/explore/69ddf26c000000002301c6bd?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
175,老板47周年攻略｜闭眼入！省心又省💰,https://www.xiaohongshu.com/user/profile/59befa5151783a239233413b,https://www.xiaohongshu.com/explore/69ec7f3e000000001e00e568?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ec7f3e000000001e00e568?xhsshare=CopyLink&t)"
193,换了这台油烟机，我终于爱上做饭了,https://www.xiaohongshu.com/user/profile/67a17842000000000d008178,https://www.xiaohongshu.com/explore/69ef12c80000000036001a6b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ef12c80000000036001a6b?xhsshare=CopyLink&t)"
238,爸妈厨房装修好了，油烟机选方太还是老板？,https://www.xiaohongshu.com/user/profile/60b38b5d000000000100558a,https://www.xiaohongshu.com/explore/69e2204e000000001a02027c?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69e2204e000000001a02027c?xhsshare=CopyLink&t)"
241,AI烟机也太懂懒人了吧，下厨全程几乎没感觉,https://www.xiaohongshu.com/user/profile/5f562a99000000000101f5dd,https://www.xiaohongshu.com/explore/69e0ccca00000000220273ce?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69e0ccca00000000220273ce?xhsshare=CopyLink&t)"
254,✅下厨不呛烟，这款吸油烟机太💯好用啦,https://www.xiaohongshu.com/user/profile/5f8a778c000000000100590d,https://www.xiaohongshu.com/explore/69ee14d300000000350270cf?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ee14d300000000350270cf?xhsshare=CopyLink&t)"
255,老板烟灶🔥抢先618,https://www.xiaohongshu.com/user/profile/683e9ad9000000001d0172f6,https://www.xiaohongshu.com/explore/69eb09a40000000020003800?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69eb09a40000000020003800?xhsshare=CopyLink&t)"
256,多少❓老板烟灶低成这样了❓,https://www.xiaohongshu.com/user/profile/68367c92000000001d017744,https://www.xiaohongshu.com/explore/69eecb7c000000003700f26f?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69eecb7c000000003700f26f?xhsshare=CopyLink&t)"
261,老板油烟机推荐，下厨净烟超省心,https://www.xiaohongshu.com/user/profile/5e4e27770000000001002794,https://www.xiaohongshu.com/explore/69e78fa1000000001a02dd5f?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69e78fa1000000001a02dd5f?xhsshare=CopyLink&t)"
262,找到合适的研磨度了,https://www.xiaohongshu.com/user/profile/5838c97f5e87e7123ef82005,https://www.xiaohongshu.com/explore/69ef07900000000036033897?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ef07900000000036033897?xhsshare=CopyLink&t)"
269,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5911742a82ec392f8fcd8452,https://www.xiaohongshu.com/explore/69df8f02000000002200c185?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
271,下厨不呛油烟，吸油烟机推荐选它,https://www.xiaohongshu.com/user/profile/693aeb170000000032017dfd,https://www.xiaohongshu.com/explore/69ef4ed30000000035020c24?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69ef4ed30000000035020c24?xhsshare=CopyLink&t)"
