行号,笔记标题,主页链接,原笔记地址,失败原因
5,简约不突兀，我的治愈感厨房省心之选,https://www.xiaohongshu.com/user/profile/5ec660ad000000000100391d,https://www.xiaohongshu.com/explore/6a0096070000000008033c37?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a0096070000000008033c37?xhsshare=CopyLink&t)"
6,萌翻啦✨胖嘟嘟的猪猪馒头🐷0失败教程,https://www.xiaohongshu.com/user/profile/5e4a8566000000000100b9f4,https://www.xiaohongshu.com/explore/6a019ace000000000803c45b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a019ace000000000803c45b?xhsshare=CopyLink&t)"
7,家电都进步到这样了吗❓以前都是什么苦日子,https://www.xiaohongshu.com/user/profile/5e4797db0000000001002eb2,https://www.xiaohongshu.com/explore/6a01873d000000003601b0b2?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01873d000000003601b0b2?xhsshare=CopyLink&t)"
8,微蒸烤一体机真实测评,https://www.xiaohongshu.com/user/profile/688784af000000001b02049b,https://www.xiaohongshu.com/explore/6a01716600000000360305ae?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a01716600000000360305ae?xhsshare=CopyLink&t)"
9,年轻人装修能有多“自私”？,https://www.xiaohongshu.com/user/profile/57cd62aba9b2ed5da1fcb0c2,https://www.xiaohongshu.com/explore/6a0007590000000007024f33?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a0007590000000007024f33?xhsshare=CopyLink&t)"
10,美的知味感R6S vs R6S二代｜两台的真实对比,https://www.xiaohongshu.com/user/profile/5b6ec7edd3dfe20001d81671,https://www.xiaohongshu.com/explore/6a013dfb0000000007024835?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a013dfb0000000007024835?xhsshare=CopyLink&t)"
33,三千多的蒸烤箱这么难挑吗？求推荐,https://www.xiaohongshu.com/user/profile/603493b1000000000101e797,https://www.xiaohongshu.com/explore/6a013f2d0000000035023162?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
34,靠微蒸烤，几分钟就烤出酥掉渣的桃酥,https://www.xiaohongshu.com/user/profile/6812f125000000000d00b6e8,https://www.xiaohongshu.com/explore/6a015673000000000701235d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
35,周末宅家，全靠这台微蒸烤一体机续命,https://www.xiaohongshu.com/user/profile/60da04d40000000001001f5f,https://www.xiaohongshu.com/explore/6a013c42000000003502993e?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
36,微蒸烤一体机决赛圈❗️看完这篇就不纠结了,https://www.xiaohongshu.com/user/profile/617979720000000002027004,https://www.xiaohongshu.com/explore/69fefe160000000037034f70?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
37,美的寻味pro3.0这么好用，我怎么才入手！,https://www.xiaohongshu.com/user/profile/68f4adc3000000003700b754,https://www.xiaohongshu.com/explore/6a018daf000000003502093c?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
38,终于找到这么小的微波炉了！！,https://www.xiaohongshu.com/user/profile/63620339000000001f014588,https://www.xiaohongshu.com/explore/6a01a395000000003501c1a4?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
39,厨房有这台微蒸烤一体机，终于安心了！,https://www.xiaohongshu.com/user/profile/681aead7000000000e01122f,https://www.xiaohongshu.com/explore/6a018e230000000008001014?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
40,家庭版羊肉串 ｜🍢牛马打工人的解馋时刻,https://www.xiaohongshu.com/user/profile/67b33b67000000000a03ed76,https://www.xiaohongshu.com/explore/6a01c3930000000038020040?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
41,停更2年回来❤️装修小白在线求帮忙🙏,https://www.xiaohongshu.com/user/profile/5b305b3e4eacab4078fa256b,https://www.xiaohongshu.com/explore/6a01c782000000003501d2ad?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
42,治愈系奶油厨房 ｜一台抵八台太香了 ！,https://www.xiaohongshu.com/user/profile/66fa2fb0000000001d022983,https://www.xiaohongshu.com/explore/6a01b65b0000000035023c5d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
43,装修厨房选嵌入式，到底该买啥组合？救命 🆘,https://www.xiaohongshu.com/user/profile/5b70254365e8cd0001da0cb2,https://www.xiaohongshu.com/explore/6a00be150000000008031004?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
44,装修未开工，家电功课先做全✅,https://www.xiaohongshu.com/user/profile/67d50de6000000000e013c8f,https://www.xiaohongshu.com/explore/6a0156f000000000350303aa?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
45,东芝烘烤机烤蔬菜和牛肉的秘诀,https://www.xiaohongshu.com/user/profile/67ca7327000000000e01f07b,https://www.xiaohongshu.com/explore/6a01a0930000000036003579?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
