行号,笔记标题,主页链接,原笔记地址,失败原因
2,希腊土豆柠檬烤鸡🍋清新解腻的地中海风味,https://www.xiaohongshu.com/user/profile/5657ce454476080210ab3b12,https://www.xiaohongshu.com/explore/69cc8e2a000000001d01fe68?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
3,不开火搞定‼️海豹披萨🍕薯饼🥔‼️附教程,https://www.xiaohongshu.com/user/profile/5b73b067f89a9257f192f9ad,https://www.xiaohongshu.com/explore/69ce419c000000001a03699d?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
4,🔥微波炉版芝士肉酱薯条|谁懂！巨巨巨好吃！！,https://www.xiaohongshu.com/user/profile/62a43b09000000002102075a,https://www.xiaohongshu.com/explore/69c9ed6700000000210110c8?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
5,400份惊喜盒子🎁老板寻鲜记惊喜盒子掉落,https://www.xiaohongshu.com/user/profile/62d1b3080000000002003262,https://www.xiaohongshu.com/explore/69ce8550000000001a0223b5?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
6,小猫还是得亲自生啊,https://www.xiaohongshu.com/user/profile/5ac1adc84eacab25951d1a4a,https://www.xiaohongshu.com/explore/69cf78cb000000002300677c?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
7,🎁寻鲜记杭州|春日限定惊喜盒子，快来领取！,https://www.xiaohongshu.com/user/profile/5b4dabe24eacab1d906208f1,https://www.xiaohongshu.com/explore/69cce633000000001b0233b3?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
8,穿越烘焙赛！微蒸烤一体机助我返现实,https://www.xiaohongshu.com/user/profile/64184c7e0000000012011856,https://www.xiaohongshu.com/explore/69c951c0000000002102d4de?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
9,报‼️新的惊喜盒子掉薯薯了！就现在‼️,https://www.xiaohongshu.com/user/profile/5605bcdf3f95a30ce7ec9b94,https://www.xiaohongshu.com/explore/69ce71e3000000001a033493?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
10,别骂了！蒸烤箱这次真的“改过自新”了,https://www.xiaohongshu.com/user/profile/5b08ea11e8ac2b5e4bf63c4f,https://www.xiaohongshu.com/explore/69ccb36d000000001a029279?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
11,居家vlog｜周末宅家晚餐日记📔第36集,https://www.xiaohongshu.com/user/profile/60607ddb00000000010093cf,https://www.xiaohongshu.com/explore/69cc8ec0000000001a033464?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
12,方太蒸烤机怎么选？G2S/G2P/EP1S对比,https://www.xiaohongshu.com/user/profile/59c8b47244363b5424a13176,https://www.xiaohongshu.com/explore/69cc8bda000000002103908f?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
13,带娃+社畜得救了！这台微蒸烤一体机不闲置,https://www.xiaohongshu.com/user/profile/60f9cc2300000000010145da,https://www.xiaohongshu.com/explore/69cf8a12000000001a0338cd?xhsshare=CopyLink&type=video,"查找失败: Page.wait_for_timeout: Target page, context or browser has been closed"
