行号,笔记标题,主页链接,原笔记地址,失败原因
11,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/684a6fe4000000001d014aad,https://www.xiaohongshu.com/explore/6a0296ba000000000702869e?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
39,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/68fae55e000000003702cb53,https://www.xiaohongshu.com/explore/6a028528000000003701f9a3?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
46,美的蒸烤箱大升级，喊一声就能做饭,https://www.xiaohongshu.com/user/profile/6138b7130000000002025b79,https://www.xiaohongshu.com/explore/6a02c53f00000000080305a1?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a02c53f00000000080305a1?xhsshare=CopyLink&t)"
77,拯救小厨房，我在餐桌放了台蒸烤箱,https://www.xiaohongshu.com/user/profile/6535da7e000000000301db28,https://www.xiaohongshu.com/explore/6a02acad0000000036019bae?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a02acad0000000036019bae?xhsshare=CopyLink&t)"
78,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/656be2350000000019011f71,https://www.xiaohongshu.com/explore/6a02959100000000060214c5?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
79,求一个微蒸烤一体机的评论区！！,https://www.xiaohongshu.com/user/profile/5a19979f4eacab2a85da7c72,https://www.xiaohongshu.com/explore/6a02c9cc000000003601ce30?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a02c9cc000000003601ce30?xhsshare=CopyLink&t)"
96,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/660d4519000000000b00d543,https://www.xiaohongshu.com/explore/6a02b5c400000000060227d9?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
97,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/62d4165a000000000e00e688,https://www.xiaohongshu.com/explore/6a02919a000000000702ad5b?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
101,🏠豪宅标配家电｜被ASKO承包的高级质感日常,https://www.xiaohongshu.com/user/profile/69080615000000003702a342,https://www.xiaohongshu.com/explore/6a030e72000000003700c8ca?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a030e72000000003700c8ca?xhsshare=CopyLink&t)"
102,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5fe5a0b900000000010016b0,https://www.xiaohongshu.com/explore/6a02b9c900000000060238d4?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
105,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5fe5a0b900000000010016b0,https://www.xiaohongshu.com/explore/6a02ba44000000000800255c?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
106,静安租房🔥三轨交汇通勤党福音,https://www.xiaohongshu.com/user/profile/69de0f290000000032036650,https://www.xiaohongshu.com/explore/6a028669000000003502b55a?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a028669000000003502b55a?xhsshare=CopyLink&t)"
110,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5e11259e0000000001008785,https://www.xiaohongshu.com/explore/6a02a39100000000070277cf?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
