行号,笔记标题,主页链接,原笔记地址,失败原因
39,小米净烟机Pro，入手合适嘛,https://www.xiaohongshu.com/user/profile/69e6cc380000000002001800,https://www.xiaohongshu.com/explore/6a043134000000003503b40d?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a043134000000003503b40d?xhsshare=CopyLink&t)"
42,宝安洪浪北地铁站2房老小区电梯房转租 #出,https://www.xiaohongshu.com/user/profile/5bf6593b8f6664000165f3ad,https://www.xiaohongshu.com/explore/6a041533000000003802082b?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a041533000000003802082b?xhsshare=CopyLink&t)"
47,等红灯的时候真是成抽油烟机了👊,https://www.xiaohongshu.com/user/profile/5e73046000000000010029a1,https://www.xiaohongshu.com/explore/6a03c1be0000000036002168?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a03c1be0000000036002168?xhsshare=CopyLink&t)"
84,七宝转租一室户，近夜市﻿1600！,https://www.xiaohongshu.com/user/profile/69fbf9f50000000002000002,https://www.xiaohongshu.com/explore/6a0416100000000036019e8c?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a0416100000000036019e8c?xhsshare=CopyLink&t)"
85,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/63fa509c0000000014012634,https://www.xiaohongshu.com/explore/6a035d6d000000003701e992?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
90,老板油烟机这个价格咋样,https://www.xiaohongshu.com/user/profile/59b0bad450c4b45f8143c3bd,https://www.xiaohongshu.com/explore/6a0426410000000035027d6e?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a0426410000000035027d6e?xhsshare=CopyLink&t)"
98,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/600be62c0000000001003bf3,https://www.xiaohongshu.com/explore/6a03fcc6000000003601a48f?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
100,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/6739c9f8000000001d02cbc5,https://www.xiaohongshu.com/explore/6a03f7360000000036001762?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
105,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/693936ee000000003700660a,https://www.xiaohongshu.com/explore/6a034ef90000000036019193?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
106,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/67ef68ee000000000700282f,https://www.xiaohongshu.com/explore/6a042e60000000003501f0a7?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
110,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/5c4ad5c3000000001203b63f,https://www.xiaohongshu.com/explore/6a03db78000000003502b77f?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
132,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/608f7b9900000000010029e0,https://www.xiaohongshu.com/explore/6a040daf0000000008026540?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
134,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/60d06008000000000101c9e4,https://www.xiaohongshu.com/explore/6a043de30000000007025da9?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
138,布心个人转租,https://www.xiaohongshu.com/user/profile/6a03ecb7000000000d035c05,https://www.xiaohongshu.com/explore/6a03f01c0000000013020400?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a03f01c0000000013020400?xhsshare=CopyLink&t)"
146,上城九堡一室一厅急转｜1500/月民水民电,https://www.xiaohongshu.com/user/profile/675eb892000000001801d6b1,https://www.xiaohongshu.com/explore/6a04676b00000000360182be?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/6a04676b00000000360182be?xhsshare=CopyLink&t)"
148,笔记暂未设置标题,https://www.xiaohongshu.com/user/profile/67ef68ee000000000700282f,https://www.xiaohongshu.com/explore/6a0452d9000000003502e8bf?xhsshare=CopyLink&type=video,笔记无标题(不可恢复)
