行号,笔记标题,主页链接,原笔记地址,失败原因
442,蒸烤箱糖渍清洁一步到位,https://www.xiaohongshu.com/user/profile/69cf9d4c0000000026039e9a,https://www.xiaohongshu.com/explore/69da3119000000002903f467?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69da3119000000002903f467?xhsshare=CopyLink&t)"
444,别忘了好好保养蒸烤箱！,https://www.xiaohongshu.com/user/profile/69cf77730000000026003a31,https://www.xiaohongshu.com/explore/69da3150000000002903f47a?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69da3150000000002903f47a?xhsshare=CopyLink&t)"
446,谁懂我家这个蒸烤箱门玻璃的透亮,https://www.xiaohongshu.com/user/profile/69cf9cfb0000000026039e19,https://www.xiaohongshu.com/explore/69da30d0000000002903f454?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69da30d0000000002903f454?xhsshare=CopyLink&t)"
447,中厨一个，西厨一个,https://www.xiaohongshu.com/user/profile/683fcefb000000001e03dbe9,https://www.xiaohongshu.com/explore/69d630630000000021012834?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69d630630000000021012834?xhsshare=CopyLink&t)"
448,老板小贝果D3U实测 —— 抹茶巴斯克🍵,https://www.xiaohongshu.com/user/profile/58f085f850c4b41e71749c62,https://www.xiaohongshu.com/explore/69e100c8000000001b0227c7?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69e100c8000000001b0227c7?xhsshare=CopyLink&t)"
454,懒人早餐封神！超养生的牛奶鸡蛋醪糟！,https://www.xiaohongshu.com/user/profile/67f50f43000000000a03c558,https://www.xiaohongshu.com/explore/69d399750000000022025a6f?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69d399750000000022025a6f?xhsshare=CopyLink&t)"
465,微蒸烤一体机到底选哪家合适啊,https://www.xiaohongshu.com/user/profile/5b61237411be10576d87915a,https://www.xiaohongshu.com/explore/69d8f95d000000001d01ddb0?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69d8f95d000000001d01ddb0?xhsshare=CopyLink&t)"
467,终于把我的小厨房晒出来了！！✨,https://www.xiaohongshu.com/user/profile/69ce5bc30000000032034135,https://www.xiaohongshu.com/explore/69d1082700000000210042b7?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69d1082700000000210042b7?xhsshare=CopyLink&t)"
475,0翻车救星｜青团食谱分享一次就成功🌿,https://www.xiaohongshu.com/user/profile/6855269a000000001b018ee4,https://www.xiaohongshu.com/explore/69cf37ea00000000220290cc?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69cf37ea00000000220290cc?xhsshare=CopyLink&t)"
486,蓝调时分的江景，美到窒息✨新外滩花苑,https://www.xiaohongshu.com/user/profile/65253a8e000000002a02a6a3,https://www.xiaohongshu.com/explore/69d8b9a4000000001a031822?xhsshare=CopyLink&type=video,"未找到匹配笔记 (原地址有笔记ID=True, 原地址=https://www.xiaohongshu.com/explore/69d8b9a4000000001a031822?xhsshare=CopyLink&t)"
