行号,笔记标题,主页链接,原笔记地址,失败原因
11,开放式厨房入住1年！这6个决定真的越用越香,https://www.xiaohongshu.com/user/profile/56a080a54775a765aa9def92,https://www.xiaohongshu.com/explore/6a01dd130000000037037e25?xhsshare=CopyLink&type=video,未找到标题匹配卡片
12,上屋1450一房一厅转租！！,https://www.xiaohongshu.com/user/profile/5f86e83e0000000001006515,https://www.xiaohongshu.com/explore/6a02f990000000003502ee18?xhsshare=CopyLink&type=video,未找到标题匹配卡片
17,下班回家，给自己做一顿治愈的晚餐。,https://www.xiaohongshu.com/user/profile/699ecbab000000001d019ddc,https://www.xiaohongshu.com/explore/6a017c170000000007010cba?xhsshare=CopyLink&type=video,未找到标题匹配卡片
31,奶奶为了省油钱，竟用抽油烟机的油……,https://www.xiaohongshu.com/user/profile/6129072c000000000101d18a,https://www.xiaohongshu.com/explore/6a0344c3000000000702a151?xhsshare=CopyLink&type=video,未找到标题匹配卡片
54,长沙个人转租 !!!   中介勿扰，谢谢！！！,https://www.xiaohongshu.com/user/profile/60f83e27000000000101f3fa,https://www.xiaohongshu.com/explore/6a02906e00000000360318eb?xhsshare=CopyLink&type=video,未找到标题匹配卡片
57,潘家园租房｜国贸 独立阳台 拎包即住～,https://www.xiaohongshu.com/user/profile/6175118200000000020237aa,https://www.xiaohongshu.com/explore/6a02350d00000000060221f3?xhsshare=CopyLink&type=video,未找到标题匹配卡片
63,民水民电450,https://www.xiaohongshu.com/user/profile/6027efed0000000001000f32,https://www.xiaohongshu.com/explore/6a02b025000000003601ac3e?xhsshare=CopyLink&type=video,未找到标题匹配卡片
75,民水民电4。5。0r,https://www.xiaohongshu.com/user/profile/661947d30000000003033599,https://www.xiaohongshu.com/explore/6a0313fb0000000036032a89?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
80,萧山个人转租两室一厅,https://www.xiaohongshu.com/user/profile/6777b8ce000000001801eb9f,https://www.xiaohongshu.com/explore/6a02c3990000000035022e21?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
89,上海个人转租！不是中介,https://www.xiaohongshu.com/user/profile/6554b1b7000000000802cf80,https://www.xiaohongshu.com/explore/6a0290fc0000000006023e8f?xhsshare=CopyLink&type=video,未找到标题匹配卡片
103,广州花都转租,https://www.xiaohongshu.com/user/profile/5ea9b1a2000000000100128d,https://www.xiaohongshu.com/explore/6a0270e80000000006020c73?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
105,佛山一房一厅500块，配好空调洗衣机冰箱,https://www.xiaohongshu.com/user/profile/68665ec8000000000803b570,https://www.xiaohongshu.com/explore/6a02d84d000000003601df8e?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
109,天普2房2卫,https://www.xiaohongshu.com/user/profile/5dbc7cb3000000000100b05d,https://www.xiaohongshu.com/explore/6a0216420000000010001c00?xhsshare=CopyLink&type=video,未找到标题匹配卡片
110,老余杭，人工智能小镇附近朝南整租一室700,https://www.xiaohongshu.com/user/profile/67f2106d000000000a03ff08,https://www.xiaohongshu.com/explore/6a028f41000000000702edc4?xhsshare=CopyLink&type=video,未找到标题匹配卡片
117,急！大石个人转租，三房一厅2550元,https://www.xiaohongshu.com/user/profile/69f0bd5e0000000001007001,https://www.xiaohongshu.com/explore/6a02eae4000000003601cd1a?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
133,青秀区刚退一房一厅730/月 电0.88,https://www.xiaohongshu.com/user/profile/6926c1950000000003012a26,https://www.xiaohongshu.com/explore/6a02ede00000000035024f45?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
