行号,笔记标题,主页链接,原笔记地址,失败原因
6,厨房懒人防油贴纸！🔥绝了,https://www.xiaohongshu.com/user/profile/5b1dfaec4eacab45a43777c4,https://www.xiaohongshu.com/explore/6a0694840000000008001c01?xhsshare=CopyLink&type=video,未找到标题匹配卡片
25,龙华元芬🚇阳台山东『loft复式公寓』押一,https://www.xiaohongshu.com/user/profile/67b83294000000000d0087e1,https://www.xiaohongshu.com/explore/6a06eb5f000000000802497f?xhsshare=CopyLink&type=video,未找到标题匹配卡片
27,岳麓区荟聚附近三房出租,https://www.xiaohongshu.com/user/profile/5e7ccc3200000000010077a1,https://www.xiaohongshu.com/explore/6a06f8a4000000003600096e?xhsshare=CopyLink&type=video,未找到标题匹配卡片
33,渝中大坪地铁口丨一室一厅·1200✨,https://www.xiaohongshu.com/user/profile/67bebfe3000000000e011759,https://www.xiaohongshu.com/explore/6a069c1e000000003501f47a?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
46,转租｜中南路一室一厅，极简风治愈独居生活✨,https://www.xiaohongshu.com/user/profile/6752cc66000000001d02c986,https://www.xiaohongshu.com/explore/6a06e8130000000038022690?xhsshare=CopyLink&type=video,未找到标题匹配卡片
59,燃气管道遮罩热水器下水管厨房瓦斯圆角洞洞板壁挂神器!!,https://www.xiaohongshu.com/user/profile/690dd15c0000000037030a70,https://www.xiaohongshu.com/explore/6a06917e0000000007022420?xhsshare=CopyLink&type=video,未找到标题匹配卡片
67,龙跃苑东四区大次卧价格1600-1900转租,https://www.xiaohongshu.com/user/profile/688d87060000000028016a66,https://www.xiaohongshu.com/explore/6a06c3aa00000000080035f7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
75,✨天府商务区 全屋定制套二 中央空调2200💰,https://www.xiaohongshu.com/user/profile/688f10890000000029009c09,https://www.xiaohongshu.com/explore/6a06e75b000000003600195c?xhsshare=CopyLink&type=video,未找到标题匹配卡片
77,✨厨房防油神器！贴完超干净,https://www.xiaohongshu.com/user/profile/68de338a0000000030028ea3,https://www.xiaohongshu.com/explore/6a069da9000000003503ae4e?xhsshare=CopyLink&type=video,未找到标题匹配卡片
89,广州天河区棠下豪装电梯高层无遮挡全光线一,https://www.xiaohongshu.com/user/profile/64800a47000000001f007568,https://www.xiaohongshu.com/explore/6a06af3e000000000702944f?xhsshare=CopyLink&type=video,未找到标题匹配卡片
93,🌈超强去油污湿巾纸！油烟机清洁必备杀手锏！,https://www.xiaohongshu.com/user/profile/59d1a31a20e88f6fa45e159b,https://www.xiaohongshu.com/explore/6a06549c0000000036030007?xhsshare=CopyLink&type=video,未找到标题匹配卡片
99,油烟机顶部防油垫免裁剪吸油棉通用加厚厨房,https://www.xiaohongshu.com/user/profile/60f6c48c000000000100b4e5,https://www.xiaohongshu.com/explore/6a06540e00000000350335bb?xhsshare=CopyLink&type=video,未找到标题匹配卡片
101,厨房油污重？油烟机通用吸油棉垫救大命！,https://www.xiaohongshu.com/user/profile/657addbc0000000020036fdb,https://www.xiaohongshu.com/explore/6a06ac0d000000003700e685?xhsshare=CopyLink&type=video,未找到标题匹配卡片
112,龙跃苑东五区大次卧价格1500-1700直租,https://www.xiaohongshu.com/user/profile/688d87060000000028016a66,https://www.xiaohongshu.com/explore/6a06c2db0000000006032b5d?xhsshare=CopyLink&type=video,未找到标题匹配卡片
121,🔥厨房防油贴纸｜高级感收纳神器,https://www.xiaohongshu.com/user/profile/6919874c0000000037001815,https://www.xiaohongshu.com/explore/6a06717100000000070212a8?xhsshare=CopyLink&type=video,未找到标题匹配卡片
129,多伦多dt 洗碗机侧面固定更牢固,https://www.xiaohongshu.com/user/profile/6340d108000000001901c947,https://www.xiaohongshu.com/explore/6a0668410000000007013470?xhsshare=CopyLink&type=video,未找到标题匹配卡片
132,烤肉不烟熏！家用无烟烤炉真香🔥,https://www.xiaohongshu.com/user/profile/5c50f725000000001a02345d,https://www.xiaohongshu.com/explore/6a0601af0000000008033dfb?xhsshare=CopyLink&type=video,未找到标题匹配卡片
138,天星桥，精装一室，时代yoho ，近地铁,https://www.xiaohongshu.com/user/profile/5e317905000000000100a4d6,https://www.xiaohongshu.com/explore/6a070abf0000000006033ce3?xhsshare=CopyLink&type=video,未找到标题匹配卡片
141,心居客｜抽油烟机重油污一喷净,https://www.xiaohongshu.com/user/profile/696a5310000000002a01fb3b,https://www.xiaohongshu.com/explore/6a060214000000003501dfbd?xhsshare=CopyLink&type=video,未找到标题匹配卡片
143,洪山广场，长城汇精装一室一厅出租无中介费,https://www.xiaohongshu.com/user/profile/6752cc66000000001d02c986,https://www.xiaohongshu.com/explore/6a06e7fc000000003700c5e7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
151,厨房守护神！防油烟罩让电器告别脏兮兮,https://www.xiaohongshu.com/user/profile/6916b5230000000037030e89,https://www.xiaohongshu.com/explore/6a06be4a0000000006022c25?xhsshare=CopyLink&type=video,未找到标题匹配卡片
193,一贴搞定厨房油污，油烟机颜值拯救神器🔥,https://www.xiaohongshu.com/user/profile/68d8e77d000000002101decf,https://www.xiaohongshu.com/explore/6a0652fa000000003501d9eb?xhsshare=CopyLink&type=video,未找到标题匹配卡片
