行号,笔记标题,主页链接,原笔记地址,失败原因
12,老爸一定要9r挂xhs卖😅笑死关键没人买啊🔥,https://www.xiaohongshu.com/user/profile/6489a1c9000000000f00660c,https://www.xiaohongshu.com/explore/6a01e96c0000000037034654?xhsshare=CopyLink&type=video,未找到标题匹配卡片
24,老板让我用盲盒一箱9.9💰处理了，躺平了,https://www.xiaohongshu.com/user/profile/6906c6ab000000003702ee0b,https://www.xiaohongshu.com/explore/6a029aa30000000035029d44?xhsshare=CopyLink&type=video,未找到标题匹配卡片
27,分享俩个好看又实用的无涂层小煮锅！,https://www.xiaohongshu.com/user/profile/67f88e9a000000000a03dc3b,https://www.xiaohongshu.com/explore/6a029e790000000008002c5b?xhsshare=CopyLink&type=video,未找到标题匹配卡片
30,天呐！原来让自己过的舒服不需要很多钱,https://www.xiaohongshu.com/user/profile/635ca9ce000000001901d404,https://www.xiaohongshu.com/explore/6a032d10000000003501fa53?xhsshare=CopyLink&type=video,未找到标题匹配卡片
34,爸妈非要我9.9r一箱挂xhs💰关键没人买啊,https://www.xiaohongshu.com/user/profile/68f9af390000000037009c51,https://www.xiaohongshu.com/explore/6a01e4b4000000000803ccdc?xhsshare=CopyLink&type=video,未找到标题匹配卡片
40,✨调布市｜147平大户建 🏡带花园 屋顶露台,https://www.xiaohongshu.com/user/profile/67f7ac5c000000000d009400,https://www.xiaohongshu.com/explore/6a02d54d0000000036033b13?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
42,小张老师，你这杯子真不错！,https://www.xiaohongshu.com/user/profile/6734a248000000001c01bba2,https://www.xiaohongshu.com/explore/6a028b1d0000000035028b7c?xhsshare=CopyLink&type=video,未找到标题匹配卡片
43,9r餐具盲盒｜百分百必成漂亮餐盘‼️,https://www.xiaohongshu.com/user/profile/693d29670000000003011c57,https://www.xiaohongshu.com/explore/6a02eb9c00000000070298ae?xhsshare=CopyLink&type=video,未找到标题匹配卡片
44,麓湖生态城观澜业主直租,https://www.xiaohongshu.com/user/profile/5e1f20d1000000000100721f,https://www.xiaohongshu.com/explore/6a0263b20000000006037617?xhsshare=CopyLink&type=video,未找到标题匹配卡片
52,家里囤太多餐具｜爸妈勒令9.9r一箱亏本清,https://www.xiaohongshu.com/user/profile/68f9af390000000037009c51,https://www.xiaohongshu.com/explore/6a02dde70000000007024333?xhsshare=CopyLink&type=video,未找到标题匹配卡片
53,爸妈终于同意了🤣9.9r一箱包邮到家手慢🈚️,https://www.xiaohongshu.com/user/profile/68f9af390000000037009c51,https://www.xiaohongshu.com/explore/6a02c2f10000000006021ff2?xhsshare=CopyLink&type=video,未找到标题匹配卡片
60,爸妈终于同意了🤣9.9r一箱包邮到家手慢无,https://www.xiaohongshu.com/user/profile/690c66eb0000000037030d0c,https://www.xiaohongshu.com/explore/6a02872b00000000380355a2?xhsshare=CopyLink&type=video,未找到标题匹配卡片
97,个人转租，急急急急,https://www.xiaohongshu.com/user/profile/637c628d0000000024017916,https://www.xiaohongshu.com/explore/6a02a28200000000060350d7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
100,5.12晚特价专场：美的洗碗机抄底价，省钱进,https://www.xiaohongshu.com/user/profile/6658b4ac000000000700471f,https://www.xiaohongshu.com/explore/6a032c76000000003601a6f7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
104,天普2房2卫,https://www.xiaohongshu.com/user/profile/5dbc7cb3000000000100b05d,https://www.xiaohongshu.com/explore/6a0216420000000010001c00?xhsshare=CopyLink&type=video,未找到标题匹配卡片
105,葛饰区抄底｜100W+🉐️带花园3LDK公寓,https://www.xiaohongshu.com/user/profile/67f7ac5c000000000d009400,https://www.xiaohongshu.com/explore/6a029d96000000003701f9fe?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
110,纽约曼哈顿中城42街MiMA转租,https://www.xiaohongshu.com/user/profile/5e22b92f0000000001000cd5,https://www.xiaohongshu.com/explore/6a026dc000000000380342a1?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
114,洗碗机和洗地机每天都用吗,https://www.xiaohongshu.com/user/profile/5d0311770000000016022a5c,https://www.xiaohongshu.com/explore/6a031dc9000000003603227d?xhsshare=CopyLink&type=video,未找到标题匹配卡片
126,巨折转租波士顿FenwayLandmark超大朝南主卧,https://www.xiaohongshu.com/user/profile/5dda6c1100000000010026df,https://www.xiaohongshu.com/explore/6a0294980000000006034bd9?xhsshare=CopyLink&type=video,未找到标题匹配卡片
127,Jackson Park暑期低价转租,https://www.xiaohongshu.com/user/profile/5737e3d382ec391fcf35529e,https://www.xiaohongshu.com/explore/6a0326030000000007011e4e?xhsshare=CopyLink&type=video,未找到标题匹配卡片
128,DC暑期短租1b1b｜出租我的小家,https://www.xiaohongshu.com/user/profile/5a9ba975e8ac2b6fac709dcc,https://www.xiaohongshu.com/explore/6a02568100000000080019b4?xhsshare=CopyLink&type=video,未找到标题匹配卡片
144,大数据能不能别自作主张了😤,https://www.xiaohongshu.com/user/profile/5c8ddf6a00000000160166a7,https://www.xiaohongshu.com/explore/6a0315a400000000070108d4?xhsshare=CopyLink&type=video,未找到标题匹配卡片
148,🎁5.13｜海尔兄弟惊喜盒子掉落！,https://www.xiaohongshu.com/user/profile/64b38e72000000001c029c80,https://www.xiaohongshu.com/explore/6a031a7300000000060220f7?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
154,⏰ 618第一波家电时间（5.12晚领超红必记）,https://www.xiaohongshu.com/user/profile/6222d8200000000010008647,https://www.xiaohongshu.com/explore/6a0274f6000000003503180d?xhsshare=CopyLink&type=video,未找到标题匹配卡片
158,小户型洗碗自由！美的 UP2Pro 直接焊在厨房,https://www.xiaohongshu.com/user/profile/5a01363f4eacab112f7d7077,https://www.xiaohongshu.com/explore/6a02be4b0000000035028a58?xhsshare=CopyLink&type=video,未找到标题匹配卡片
159,进了好多家电团购群，一个给力的也没有,https://www.xiaohongshu.com/user/profile/59889c346a6a6922a3735140,https://www.xiaohongshu.com/explore/6a03355c0000000008001766?xhsshare=CopyLink&type=video,未找到标题匹配卡片
161,PP5可微波炉、洗碗机密封保鲜盒,https://www.xiaohongshu.com/user/profile/67fa537c000000000d00ae51,https://www.xiaohongshu.com/explore/6a0266d50000000007025c01?xhsshare=CopyLink&type=video,未找到标题匹配卡片
162,李佳琦618家电类预告❗️❗️❗️,https://www.xiaohongshu.com/user/profile/6a0157cb0000000002001c01,https://www.xiaohongshu.com/explore/6a027ada000000000702dc70?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
