行号,笔记标题,主页链接,原笔记地址,失败原因
6,租|北外滩～瑞虹新城·2房🍃落地窗的家🌈,https://www.xiaohongshu.com/user/profile/6160432a0000000002026499,https://www.xiaohongshu.com/explore/6a057a8b000000003502edd4?xhsshare=CopyLink&type=video,笔记卡片 DOM 未就绪
9,日式双耳汤碗家用2026新款10英寸大号,https://www.xiaohongshu.com/user/profile/6482c4b4000000000f004c3b,https://www.xiaohongshu.com/explore/6a0528b3000000003701e611?xhsshare=CopyLink&type=video,未找到标题匹配卡片
11,MHW-3BOMBER轰炸机泽田杯 陶瓷,https://www.xiaohongshu.com/user/profile/5e8805cc000000000100646d,https://www.xiaohongshu.com/explore/6a0537330000000035027694?xhsshare=CopyLink&type=video,未找到标题匹配卡片
14,开店必备‼️1688高质感陶瓷餐具店铺合集❗,https://www.xiaohongshu.com/user/profile/62281b560000000021022331,https://www.xiaohongshu.com/explore/6a056c7b000000003503ba5e?xhsshare=CopyLink&type=video,未找到标题匹配卡片
16,618家电抄作业｜合集3,https://www.xiaohongshu.com/user/profile/6791c161000000000e01c6b1,https://www.xiaohongshu.com/explore/6a056a59000000003700cfb7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
18,碗碟套装 家用4人陶瓷碗可爱餐具套装汤碗,https://www.xiaohongshu.com/user/profile/67b99890000000000d00becd,https://www.xiaohongshu.com/explore/6a052391000000000603327b?xhsshare=CopyLink&type=video,未找到标题匹配卡片
20,一人食的精致仪式感，从这款分格餐盘开始✨,https://www.xiaohongshu.com/user/profile/66c93070000000001d031696,https://www.xiaohongshu.com/explore/6a04f919000000000702fd3c?xhsshare=CopyLink&type=video,未找到标题匹配卡片
22,精装房装修前避坑指南，赶紧收藏！,https://www.xiaohongshu.com/user/profile/66615aa8000000000b030678,https://www.xiaohongshu.com/explore/6a0530490000000035033017?xhsshare=CopyLink&type=video,未找到标题匹配卡片
26,学生党福音✅徐家汇2房2卫✨推窗见绿,https://www.xiaohongshu.com/user/profile/684aa359000000001e023f29,https://www.xiaohongshu.com/explore/6a056af8000000000603341f?xhsshare=CopyLink&type=video,未找到标题匹配卡片
31,景德镇高颜值陶瓷碗碟套装，打造餐桌美学新体验,https://www.xiaohongshu.com/user/profile/643527b1000000000e01ef96,https://www.xiaohongshu.com/explore/6a051f3000000000080028c1?xhsshare=CopyLink&type=video,未找到标题匹配卡片
35,超级好用的水管三通接头，聪明妈妈都在偷用！,https://www.xiaohongshu.com/user/profile/69859084000000001d007f94,https://www.xiaohongshu.com/explore/6a053e370000000006034132?xhsshare=CopyLink&type=video,未找到标题匹配卡片
40,2026新款家用陶瓷碗盘套装：餐桌上的小确幸✨,https://www.xiaohongshu.com/user/profile/58f36adc50c4b41a5795a9e9,https://www.xiaohongshu.com/explore/6a0519e2000000003601e1f5?xhsshare=CopyLink&type=video,未找到标题匹配卡片
42,💧这双鸡翅木筷子，发霉退退退！,https://www.xiaohongshu.com/user/profile/656efce9000000001c01a8f0,https://www.xiaohongshu.com/explore/6a05109d000000000702d5f2?xhsshare=CopyLink&type=video,未找到标题匹配卡片
47,开小店必囤‼️1688这3家餐具厂，复购N次,https://www.xiaohongshu.com/user/profile/62281b560000000021022331,https://www.xiaohongshu.com/explore/6a056ac00000000035027aa7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
49,日式餐盘承包三餐幸福感🍱✨,https://www.xiaohongshu.com/user/profile/62771cce000000002102af27,https://www.xiaohongshu.com/explore/6a054a460000000035025f30?xhsshare=CopyLink&type=video,未找到标题匹配卡片
51,上海租房 | 奶油味🍃花园复式 治愈白色系,https://www.xiaohongshu.com/user/profile/68ff68470000000032018a5e,https://www.xiaohongshu.com/explore/6a05745b000000003701f227?xhsshare=CopyLink&type=video,未找到标题匹配卡片
52,银杏叶陶瓷碗10只装：餐桌上的小清新美学,https://www.xiaohongshu.com/user/profile/5f51d4c100000000010097c8,https://www.xiaohongshu.com/explore/6a050df400000000070119db?xhsshare=CopyLink&type=video,未找到标题匹配卡片
55,淡淡的🌸🌸像及春天的代名词,https://www.xiaohongshu.com/user/profile/61529989000000001f03ca4e,https://www.xiaohongshu.com/explore/6a0505df00000000060349e0?xhsshare=CopyLink&type=video,未找到标题匹配卡片
60,厨房下水道防臭利器！50排水管道密封必备神器!🌟✨,https://www.xiaohongshu.com/user/profile/684e79f1000000001b021eb7,https://www.xiaohongshu.com/explore/6a04a25f0000000038037ac6?xhsshare=CopyLink&type=video,未找到标题匹配卡片
67,2026新款家用陶瓷碗盘套装：让餐桌秒变ins风✨,https://www.xiaohongshu.com/user/profile/69ae26a7000000003302ad11,https://www.xiaohongshu.com/explore/6a0512b80000000008000adb?xhsshare=CopyLink&type=video,未找到标题匹配卡片
70,深港通勤租房推荐｜前海天境3房租1.3w+,https://www.xiaohongshu.com/user/profile/677e083e00000000080150ec,https://www.xiaohongshu.com/explore/6a031010000000000803c553?xhsshare=CopyLink&type=video,未找到标题匹配卡片
72,高颜值玻璃杯6件套｜把生活过成诗的仪式感🌿,https://www.xiaohongshu.com/user/profile/6913bf24000000003702848c,https://www.xiaohongshu.com/explore/6a050a5a0000000008026d23?xhsshare=CopyLink&type=video,未找到标题匹配卡片
81,六一儿童节礼物！厨房玩过家家神器🔥,https://www.xiaohongshu.com/user/profile/6694a454000000000f035e24,https://www.xiaohongshu.com/explore/6a04d63b0000000007013898?xhsshare=CopyLink&type=video,未找到标题匹配卡片
86,🌟超值别墅！400平下叠+花园+地下室，居,https://www.xiaohongshu.com/user/profile/57388d135e87e72f319062d1,https://www.xiaohongshu.com/explore/6a058ef100000000350287c4?xhsshare=CopyLink&type=video,未找到标题匹配卡片
89,家电安装｜免费安装≠真免费！这些提前看更省,https://www.xiaohongshu.com/user/profile/62b94cbf000000001902b1b0,https://www.xiaohongshu.com/explore/6a05d3ab000000003700fc48?xhsshare=CopyLink&type=video,未找到标题匹配卡片
102,房东出国急租🔥两室一卫✅包物业网,https://www.xiaohongshu.com/user/profile/68772819000000001d02235e,https://www.xiaohongshu.com/explore/6a050a5100000000350298de?xhsshare=CopyLink&type=video,未找到标题匹配卡片
105,狂囤这套喇叭碗！！连吃面都更香了🍜✨,https://www.xiaohongshu.com/user/profile/5cf8bcfc00000000110005bb,https://www.xiaohongshu.com/explore/6a0552ad000000003502e0c1?xhsshare=CopyLink&type=video,未找到标题匹配卡片
107,耐高温玻璃瓶食品级别圆瓶空瓶自制食品密封,https://www.xiaohongshu.com/user/profile/668e298b000000000f0365ad,https://www.xiaohongshu.com/explore/6a05026c0000000035024f24?xhsshare=CopyLink&type=video,未找到标题匹配卡片
120,景德镇陶瓷筷子：餐桌上的诗意美学,https://www.xiaohongshu.com/user/profile/604abede000000000101ea95,https://www.xiaohongshu.com/explore/6a04ed6d0000000006023b9b?xhsshare=CopyLink&type=video,未找到标题匹配卡片
