行号,笔记标题,主页链接,原笔记地址,失败原因
10,⚠️ 停止买老板厨电！4.7限时抽免单！,https://www.xiaohongshu.com/user/profile/68c0f18f000000001903ea82,https://www.xiaohongshu.com/explore/69d1fc0f000000001a037cf9?xhsshare=CopyLink&type=video,未找到标题匹配卡片
11,微蒸烤一体机买了会闲置吗#蒸烤箱 #让生活更美好的家电 #零距离嵌入,https://www.xiaohongshu.com/user/profile/693e8d8c000000000300ece7,https://www.xiaohongshu.com/explore/69e051f50000000023005a0c?xhsshare=CopyLink&type=video,未找到标题匹配卡片
14,澳门维修，微波蒸烤一体机,https://www.xiaohongshu.com/user/profile/63103934000000001200dfae,https://www.xiaohongshu.com/explore/69dfa553000000001a0268d9?xhsshare=CopyLink&type=video,未找到标题匹配卡片
15,微蒸烤炸一体机到底选谁呀,https://www.xiaohongshu.com/user/profile/5898678582ec392871902dc6,https://www.xiaohongshu.com/explore/69da7e4d000000001e00d892?xhsshare=CopyLink&type=video,未找到标题匹配卡片
19,求方太蒸烤一体机选购建议,https://www.xiaohongshu.com/user/profile/5f3fc6a900000000010082bd,https://www.xiaohongshu.com/explore/69e0ed350000000023004719?xhsshare=CopyLink&type=video,未找到标题匹配卡片
28,这款微蒸烤一体机真好用！,https://www.xiaohongshu.com/user/profile/693a265f00000000030113cd,https://www.xiaohongshu.com/explore/69dc32b20000000023027dd6?xhsshare=CopyLink&type=video,未找到标题匹配卡片
30,是谁做出了完美冰裂纹的贝果呀？,https://www.xiaohongshu.com/user/profile/5af69c5411be105f115e2171,https://www.xiaohongshu.com/explore/69df941f000000001d018444?xhsshare=CopyLink&type=video,未找到标题匹配卡片
34,蒸烤一体箱有必要吗？用了三个月说真话,https://www.xiaohongshu.com/user/profile/64f191210000000002012d0d,https://www.xiaohongshu.com/explore/69d61b8200000000210120a5?xhsshare=CopyLink&type=video,未找到标题匹配卡片
36,西门子蒸烤一体机，让你的厨房更方便！,https://www.xiaohongshu.com/user/profile/5c7f9770000000001100c5fe,https://www.xiaohongshu.com/explore/69d830fb000000002103a433?xhsshare=CopyLink&type=video,未找到标题匹配卡片
44,微蒸烤炸煮一体,https://www.xiaohongshu.com/user/profile/69ae35610000000032019641,https://www.xiaohongshu.com/explore/69dd9a4f0000000023011feb?xhsshare=CopyLink&type=video,未找到标题匹配卡片
45,被这台奶油色的Smeg蒸烤一体机美到了！,https://www.xiaohongshu.com/user/profile/696f067f000000003700bf1e,https://www.xiaohongshu.com/explore/69d5fcc7000000001a0258b0?xhsshare=CopyLink&type=video,未找到标题匹配卡片
46,水波炉篇｜天然酵母食谱分享,https://www.xiaohongshu.com/user/profile/61109cf60000000001015b49,https://www.xiaohongshu.com/explore/69d31a6b0000000023022953?xhsshare=CopyLink&type=video,未找到标题匹配卡片
48,想省电费？试试格兰仕DR微蒸烤炸一体机！,https://www.xiaohongshu.com/user/profile/5e2576cb000000000100a90a,https://www.xiaohongshu.com/explore/69cf7bde000000002003a0e6?xhsshare=CopyLink&type=video,未找到标题匹配卡片
59,中国胃在美国有办法啦😍老板牌蒸烤炸一体机,https://www.xiaohongshu.com/user/profile/69750f2400000000260027fd,https://www.xiaohongshu.com/explore/69d00c4a0000000029032275?xhsshare=CopyLink&type=video,未找到标题匹配卡片
62,厦门租房｜祥店·现代轻奢Style推窗见景套房,https://www.xiaohongshu.com/user/profile/6232041000000000100060df,https://www.xiaohongshu.com/explore/69d6179a000000001e00e794?xhsshare=CopyLink&type=video,未找到标题匹配卡片
65,蒸烤一体箱有必要吗？过来人真心话！,https://www.xiaohongshu.com/user/profile/695383780000000037006809,https://www.xiaohongshu.com/explore/69d3785c000000001b0035c7?xhsshare=CopyLink&type=video,未找到标题匹配卡片
66,五口之家做饭有多难？选对家电更轻松✨,https://www.xiaohongshu.com/user/profile/699114a2000000001d005afb,https://www.xiaohongshu.com/explore/69e0bfd5000000001a029bc4?xhsshare=CopyLink&type=video,未找到标题匹配卡片
67,美哉美宅！七号线昌平路地铁口的大两房,https://www.xiaohongshu.com/user/profile/69c34ec4000000003301eecf,https://www.xiaohongshu.com/explore/69e0e4b300000000220036cc?xhsshare=CopyLink&type=video,未找到标题匹配卡片
70,避雷东芝电器,https://www.xiaohongshu.com/user/profile/59a2314fdb2e606aba850469,https://www.xiaohongshu.com/explore/69d4abe3000000002202995e?xhsshare=CopyLink&type=video,未找到标题匹配卡片
74,来对比下方太和其他品牌烤箱,https://www.xiaohongshu.com/user/profile/669093f3000000000f0351d8,https://www.xiaohongshu.com/explore/69d0a0ed000000002103b89d?xhsshare=CopyLink&type=video,未找到标题匹配卡片
76,做饭3分钟，清洁半小时？S9-ZK太懂懒人了！,https://www.xiaohongshu.com/user/profile/6968b5a6000000000b039c49,https://www.xiaohongshu.com/explore/69da00d2000000002103a43b?xhsshare=CopyLink&type=video,未找到标题匹配卡片
78,老板电器新品AI大吸力油烟机i1-Pro抢先看！,https://www.xiaohongshu.com/user/profile/6546f36c000000000400a142,https://www.xiaohongshu.com/explore/69d0ef53000000001a02a556?xhsshare=CopyLink&type=video,未找到标题匹配卡片
